"new_ID","ID","Type","Param","sp_name_std","Start","End","Grain_size","N_periodes","Sampling","Category","Obs_type","Uncertainty_distribution","Duration","ShiftRate","UnitRate","Areakm2","LatExtentk","Eco","kingdom","phylum","class","family","Hemisphere","bvel","bvel_lat","bvel_lat2","bvel_lat_error","bvel_angle","bvel95","bvel95_lat","bvel95_lat_error","bvel95_angle","sensitivity","validation","calibration","Boyce","TSS","signoise","mismatch","mismatch_percent","mismatch_trend","match_direction","lag_overshoot","match_direction_class","mismatch95","mismatch95_percent","mismatch95_trend","match_direction95","lag_overshoot95","match_direction95_class"
"A117_P4 Stenotomus_caprinus 1987 2011 LAT O","A117_P4","LAT","O","Stenotomus_caprinus",1987,2011,"very_large",25,"CONTINUOUS","TimeSeries","abundance","Raw",25,-1.053,"km/year",148113.72,294.5,"Mar","Animalia","Chordata","Actinopteri","Sparidae","North hemisphere",0.311430190359103,-0.283247021601564,-0.283247021601564,0.198495950591703,204.563094394839,311.430190359103,-0.283247021601564,0.198495950591703,204.563094394839,88.9163080420574,0.476916666666667,0.5865,0.161,0.5865,1.42696624670289,-0.769752978398436,73.1009476161858,-19.2438244599609,"match","lag","negneg",-0.769752978398436,73.1009476161858,-19.2438244599609,"match","lag","negneg"
"A117_P4 Synodus_foetens 1987 2011 LAT O","A117_P4","LAT","O","Synodus_foetens",1987,2011,"very_large",25,"CONTINUOUS","TimeSeries","abundance","Raw",25,-1.2115,"km/year",148113.72,294.5,"Mar","Animalia","Chordata","Actinopteri","Synodontidae","North hemisphere",0.105171865286312,0.0184914327657503,0.0184914327657503,0.124553657037369,79.8735555684513,105.171865286312,0.0184914327657503,0.124553657037369,79.8735555684513,83.8422403681788,0.62725,0.63375,-0.053,0.63375,0.148461580378988,-1.22999143276575,101.526325444965,-30.7497858191438,"match","lag","pospos",-1.22999143276575,101.526325444965,-30.7497858191438,"match","lag","pospos"
"A117_P7 Ammodytes_dubius 1995 2011 LAT O","A117_P7","LAT","O","Ammodytes_dubius",1995,2011,"very_large",17,"CONTINUOUS","TimeSeries","abundance","Raw",17,4.2741,"km/year",234486.71,917.6,"Mar","Animalia","Chordata","Actinopteri","Ammodytidae","North hemisphere",3.33974389511911,3.10403098546977,3.10403098546977,1.01830456831197,21.6551277212325,3339.74389511911,3.10403098546977,1.01830456831197,21.6551277212325,93.9871725765947,0.826416666666667,0.829583333333333,0.928,0.829583333333333,3.0482343711914,1.17006901453023,27.3757987536611,19.8911732470139,"match","overshoot","pospos",1.17006901453023,27.3757987536611,19.8911732470139,"match","overshoot","pospos"
"A117_P7 Chlamys_islandica 1995 2011 LAT O","A117_P7","LAT","O","Chlamys_islandica",1995,2011,"very_large",17,"CONTINUOUS","TimeSeries","abundance","Raw",17,1.0055,"km/year",234486.71,917.6,"Mar","Animalia","Mollusca","Bivalvia","Pectinidae","North hemisphere",4.07373399821412,3.96588693974836,3.96588693974836,1.16987489586862,13.2132073534071,4073.73399821412,3.96588693974836,1.16987489586862,13.2132073534071,90.1229777354447,0.684666666666667,0.699916666666667,0.326,0.699916666666667,3.39000943926037,-2.96038693974836,-294.419387344442,-50.3265779757221,"match","lag","pospos",-2.96038693974836,-294.419387344442,-50.3265779757221,"match","lag","pospos"
"A117_P7 Icelus_spatula 1995 2011 LAT O","A117_P7","LAT","O","Icelus_spatula",1995,2011,"very_large",17,"CONTINUOUS","TimeSeries","abundance","Raw",17,-13.0642,"km/year",234486.71,917.6,"Mar","Animalia","Chordata","Actinopteri","Cottidae","North hemisphere",0.531475902348886,0.49805009734648,0.49805009734648,0.329850280746187,20.428648720099,531.475902348886,0.49805009734648,0.329850280746187,20.428648720099,68.696800212917,0.4235,0.469666666666667,-0.716,0.469666666666667,1.5099277654692,-13.5622500973465,103.812327561936,-230.55825165489,"mismatch","misalignment","negpos",-13.5622500973465,103.812327561936,-230.55825165489,"mismatch","misalignment","negpos"
"A117_P7 Lebbeus_polaris 1995 2011 LAT O","A117_P7","LAT","O","Lebbeus_polaris",1995,2011,"very_large",17,"CONTINUOUS","TimeSeries","abundance","Raw",17,-0.5158,"km/year",234486.71,917.6,"Mar","Animalia","Arthropoda","Malacostraca","Thoridae","North hemisphere",3.07844847869666,2.96015694178268,2.96015694178268,0.859367959837737,15.9348909993103,3078.44847869666,2.96015694178268,0.859367959837737,15.9348909993103,78.2069780503551,0.618666666666667,0.645416666666667,0.821,0.645416666666667,3.44457447813345,-3.47595694178268,673.896266340186,-59.0912680103056,"mismatch","misalignment","negpos",-3.47595694178268,673.896266340186,-59.0912680103056,"mismatch","misalignment","negpos"
"A138_P1 Atriplex_glabriuscula 1976 2010 LAT O","A138_P1","LAT","O","Atriplex_glabriuscula",1976,2010,"small",2,"TWO","CensusPeriods","occurrence","Raw",35,0.8932,"km/year",78302.26,607.73,"Ter","Plantae","Tracheophyta","Magnoliopsida","Amaranthaceae","North hemisphere",0.0328261982760888,-0.00941229314190744,-0.00941229314190742,0.00609092217703645,106.662354765134,32.8261982760888,-0.00941229314190744,0.00609092217703645,106.662354765134,91.9714673547489,0.705083333333333,0.718583333333333,0.995,0.718583333333333,1.54529853909363,0.902612293141907,101.053772183375,31.5914302599668,"mismatch","misalignment","posneg",0.902612293141907,101.053772183375,31.5914302599668,"mismatch","misalignment","posneg"
"A138_P1 Galium_sterneri 1976 2010 LAT O","A138_P1","LAT","O","Galium_sterneri",1976,2010,"small",2,"TWO","CensusPeriods","occurrence","Raw",35,-1.6383,"km/year",78302.26,607.73,"Ter","Plantae","Tracheophyta","Magnoliopsida","Rubiaceae","North hemisphere",0.0310580683259813,-0.027741806094956,-0.027741806094956,0.0167159128646055,206.718812703344,31.0580683259813,-0.027741806094956,0.0167159128646055,206.718812703344,95.6614210806212,0.769666666666667,0.7835,0.969,0.7835,1.65960461266204,-1.61055819390504,98.3066711777479,-56.3695367866765,"match","lag","negneg",-1.61055819390504,98.3066711777479,-56.3695367866765,"match","lag","negneg"
"A138_P1 Helosciadium_inundatum 1976 2010 LAT O","A138_P1","LAT","O","Helosciadium_inundatum",1976,2010,"small",2,"TWO","CensusPeriods","occurrence","Raw",35,-2.2099,"km/year",78302.26,607.73,"Ter","Plantae","Tracheophyta","Magnoliopsida","Apiaceae","North hemisphere",0.123354659233917,0.0256606440265418,0.0256606440265417,0.00949797711811564,77.993461970914,123.354659233917,0.0256606440265418,0.00949797711811564,77.993461970914,86.1534538657604,0.48,0.490416666666667,0.957,0.490416666666667,2.70169570924727,-2.23556064402654,101.161167655846,-78.244622540929,"mismatch","misalignment","negpos",-2.23556064402654,101.161167655846,-78.244622540929,"mismatch","misalignment","negpos"
"A138_P1 Huperzia_selago 1976 2010 LAT O","A138_P1","LAT","O","Huperzia_selago",1976,2010,"small",2,"TWO","CensusPeriods","occurrence","Raw",35,-0.4778,"km/year",78302.26,607.73,"Ter","Plantae","Tracheophyta","Lycopodiopsida","Lycopodiaceae","North hemisphere",0.00602086241255432,-0.00502168429024643,-0.00502168429024642,0.00633164278427752,146.516770833228,6.02086241255432,-0.00502168429024643,0.00633164278427752,146.516770833228,92.8679724704178,0.686166666666667,0.690166666666667,0.998,0.690166666666667,0.793109223204454,-0.472778315709754,98.948998683498,-16.5472410498414,"match","lag","negneg",-0.472778315709754,98.948998683498,-16.5472410498414,"match","lag","negneg"
